Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,14.690000,15.390000,14.690000,15.390000,12.339739,2518500
2012-01-03,15.390000,16.200001,15.320000,16.150000,12.949109,3800900
2012-01-04,16.000000,16.200001,15.730000,15.990000,12.820820,2240100
2012-01-05,15.850000,16.080000,15.310000,15.600000,12.508118,3004500
2012-01-06,15.790000,15.890000,15.360000,15.480000,12.411901,1668900
2012-01-09,15.700000,15.960000,15.660000,15.730000,12.612351,2152500
2012-01-10,15.980000,15.980000,15.510000,15.640000,12.540190,4167900
2012-01-11,15.540000,15.770000,15.470000,15.660000,12.556226,3129900
2012-01-12,15.780000,15.960000,15.610000,15.950000,12.788749,3364100
2012-01-13,15.850000,15.940000,15.110000,15.150000,12.147305,3508200
2012-01-16,15.250000,15.490000,15.110000,15.250000,12.227487,1192200
2012-01-17,null,null,null,null,null,null
2012-01-18,15.100000,15.140000,14.850000,15.070000,12.083161,6075700
2012-01-19,15.210000,15.770000,15.170000,15.610000,12.516135,4803300
2012-01-20,15.610000,16.250000,15.420000,16.240000,13.021271,3631600
2012-01-23,16.139999,16.660000,16.030001,16.200001,12.989200,6501000
2012-01-24,16.129999,16.230000,15.900000,15.900000,12.748656,7459800
2012-01-26,16.200001,16.770000,16.200001,16.559999,13.277847,7172200
2012-01-27,16.610001,17.400000,16.570000,16.809999,13.478298,6525900
2012-01-30,16.510000,16.790001,16.059999,16.690001,13.382084,3231100
2012-01-31,16.870001,16.969999,16.059999,16.180000,12.973163,6254600
2012-02-01,16.320000,17.110001,16.209999,16.990000,13.622623,4372600
2012-02-02,16.889999,17.200001,16.700001,17.129999,13.734874,3198000
2012-02-03,17.049999,17.840000,16.900000,17.570000,14.087667,5054300
2012-02-06,17.650000,17.780001,17.309999,17.660000,14.159830,2163900
2012-02-07,17.420000,17.900000,17.270000,17.799999,14.272081,3229400
2012-02-08,17.820000,18.049999,17.620001,17.879999,14.336226,3644400
2012-02-09,17.730000,17.920000,17.059999,17.260000,13.839110,4007100
2012-02-10,16.900000,17.150000,16.629999,16.740000,13.422171,2781900
2012-02-13,16.969999,17.549999,16.879999,17.549999,14.071632,2458700
2012-02-14,17.500000,17.760000,17.139999,17.219999,13.807036,2820300
2012-02-15,17.600000,18.200001,17.600000,18.090000,14.504605,6069600
2012-02-16,17.879999,18.700001,17.709999,18.690001,14.985687,4873500
2012-02-17,18.620001,18.799999,18.190001,18.750000,15.033794,3543800
2012-02-23,18.170000,18.309999,17.930000,18.110001,14.520641,3642600
2012-02-24,18.180000,18.430000,17.870001,18.000000,14.432444,2951000
2012-02-27,17.990000,17.990000,17.309999,17.420000,13.967397,2995600
2012-02-28,17.459999,17.840000,17.450001,17.680000,14.175867,4000300
2012-02-29,17.760000,17.920000,17.170000,17.320000,13.887217,6272700
2012-03-01,17.490000,18.209999,17.410000,18.209999,14.600820,2818900
2012-03-02,18.350000,19.049999,18.200001,18.930000,15.178119,3700600
2012-03-05,18.879999,19.250000,18.709999,19.040001,15.266318,4891700
2012-03-06,18.650000,18.850000,18.100000,18.280001,14.656948,3545500
2012-03-07,18.450001,19.120001,18.450001,19.120001,15.330461,3433800
2012-03-08,19.540001,19.730000,19.240000,19.400000,15.554966,4028100
2012-03-09,19.500000,19.500000,18.500000,18.500000,14.833344,3855400
2012-03-12,18.370001,18.930000,18.200001,18.750000,15.033794,6323200
2012-03-13,18.900000,19.650000,18.809999,19.480000,15.619111,2792500
2012-03-14,19.250000,19.690001,18.719999,18.830000,15.097938,3286100
2012-03-15,18.600000,18.600000,18.129999,18.250000,14.632894,3058700
2012-03-16,18.500000,18.620001,17.709999,17.709999,14.199921,3848100
2012-03-19,17.850000,18.180000,17.639999,17.680000,14.175867,2451100
2012-03-20,17.400000,18.270000,17.360001,18.270000,14.648931,3038800
2012-03-21,18.340000,18.440001,17.950001,18.150000,14.552713,3981700
2012-03-22,17.990000,18.330000,17.299999,17.510000,14.039559,3981700
2012-03-23,17.650000,17.650000,17.090000,17.420000,13.967397,6475100
2012-03-26,17.580000,17.799999,17.440001,17.790001,14.264065,3175400
2012-03-27,17.790001,18.200001,17.100000,17.100000,13.710821,6798400
2012-03-28,17.100000,17.230000,16.850000,16.900000,13.550461,4005300
2012-03-29,16.799999,16.870001,16.270000,16.780001,13.454244,5095400
2012-03-30,16.889999,17.120001,16.150000,16.150000,12.949109,3351000
2012-04-02,16.250000,16.260000,15.640000,16.150000,12.949109,6072300
2012-04-03,16.350000,16.540001,16.000000,16.209999,12.997217,3018600
2012-04-04,16.049999,17.139999,15.860000,16.990000,13.622623,5038900
2012-04-05,16.850000,17.549999,16.650000,17.299999,13.871181,3302800
2012-04-09,16.820000,17.000000,16.389999,16.639999,13.341991,3136200
2012-04-10,16.709999,16.709999,15.800000,16.150000,12.949109,4427400
2012-04-11,16.469999,16.580000,15.810000,15.810000,12.676496,2643000
2012-04-12,16.000000,16.549999,15.800000,16.309999,13.077396,3057300
2012-04-13,16.100000,16.389999,15.700000,15.800000,12.668478,3718900
2012-04-16,16.030001,16.440001,15.700000,16.290001,13.061361,3371300
2012-04-17,16.500000,17.350000,16.500000,17.219999,13.807036,3323800
2012-04-18,17.110001,17.770000,16.840000,17.500000,14.031543,5470800
2012-04-19,17.320000,17.930000,17.250000,17.559999,14.079649,2928800
2012-04-20,17.730000,17.750000,16.660000,16.700001,13.390100,4523800
2012-04-23,16.400000,16.450001,15.980000,16.059999,12.876945,4884200
2012-04-24,16.100000,16.299999,15.950000,16.200001,12.989200,3669400
2012-04-25,16.580000,16.900000,16.410000,16.709999,13.398116,4807300
2012-04-26,16.709999,17.219999,16.510000,17.100000,13.710821,3341100
2012-04-27,17.299999,17.299999,15.750000,15.750000,12.628387,9616700
2012-04-30,15.520000,15.600000,15.190000,15.400000,12.577836,4155800
2012-05-02,15.310000,15.750000,15.100000,15.680000,12.806523,4155800
2012-05-03,15.750000,16.330000,15.630000,16.100000,13.149556,5123800
2012-05-04,16.110001,16.760000,15.680000,15.780000,12.888198,7587500
2012-05-07,15.550000,15.980000,15.400000,15.970000,13.043378,3214600
2012-05-08,15.600000,16.080000,15.460000,15.900000,12.986205,3768100
2012-05-09,15.500000,15.670000,14.990000,15.100000,12.332812,4603100
2012-05-10,15.280000,15.400000,14.580000,14.580000,11.908107,10200900
2012-05-11,14.430000,15.070000,14.320000,14.940000,12.202133,3972500
2012-05-14,14.690000,14.690000,14.240000,14.320000,11.695755,3633300
2012-05-15,14.700000,14.970000,14.000000,14.200000,11.597743,5790800
2012-05-16,14.450000,14.650000,14.140000,14.380000,11.744758,4390700
2012-05-17,14.350000,14.790000,14.200000,14.340000,11.712089,4101600
2012-05-18,14.300000,14.610000,13.990000,14.180000,11.581409,3839200
2012-05-21,14.300000,14.840000,13.920000,14.480000,11.826431,3205600
2012-05-22,14.300000,14.420000,13.630000,13.650000,11.148537,4964400
2012-05-23,13.600000,14.020000,13.340000,14.020000,11.450732,5493200
2012-05-24,14.040000,14.290000,13.500000,14.150000,11.556908,3966300
2012-05-25,14.230000,14.980000,14.040000,14.850000,12.128627,5142900
2012-05-28,15.100000,15.540000,14.950000,15.210000,12.422655,2469300
2012-05-29,15.210000,15.300000,14.560000,14.660000,11.973446,2733400
2012-05-30,14.380000,14.650000,13.930000,14.410000,11.769258,3480000
2012-05-31,14.410000,15.500000,14.180000,15.120000,12.349147,5087900
2012-06-01,14.610000,15.340000,14.520000,14.610000,11.932608,4239200
2012-06-04,14.620000,15.290000,14.620000,15.040000,12.283809,3277700
2012-06-05,15.090000,15.250000,14.140000,14.240000,11.630413,3434500
2012-06-06,14.310000,15.300000,14.310000,15.300000,12.496161,3184500
2012-06-08,15.070000,15.400000,14.820000,15.350000,12.536998,2193700
2012-06-11,15.460000,15.850000,14.890000,15.020000,12.267474,2559100
2012-06-12,15.160000,15.280000,14.460000,14.920000,12.185799,3729900
2012-06-13,14.810000,15.680000,14.730000,15.680000,12.806523,4739400
2012-06-14,15.520000,15.740000,15.010000,15.230000,12.438987,2236200
