Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,14.620000,14.690000,14.220000,14.600000,12.998752,5702400
2012-01-03,14.680000,15.250000,14.630000,15.150000,13.488434,9540800
2012-01-04,15.050000,15.600000,14.860000,15.400000,13.711013,8378600
2012-01-05,15.300000,15.900000,15.100000,15.650000,13.933593,9483200
2012-01-06,15.610000,15.950000,15.570000,15.800000,14.067146,10419700
2012-01-09,15.920000,16.030001,15.690000,15.750000,14.022628,6528600
2012-01-10,16.020000,16.410000,16.020000,16.340000,14.547919,12780700
2012-01-11,16.260000,16.629999,16.260000,16.549999,14.734890,10673700
2012-01-12,16.740000,16.740000,16.280001,16.680000,14.850633,9021500
2012-01-13,16.600000,16.610001,16.160000,16.400000,14.601339,8981100
2012-01-16,null,null,null,null,null,null
2012-01-17,null,null,null,null,null,null
2012-01-18,16.790001,16.900000,16.559999,16.900000,15.046503,8438100
2012-01-19,16.959999,16.990000,16.360001,16.549999,14.734890,13694500
2012-01-20,16.600000,16.879999,16.360001,16.740000,14.904053,11376800
2012-01-23,16.780001,16.780001,16.490000,16.650000,14.823920,8855100
2012-01-24,16.580000,16.580000,16.090000,16.469999,14.663661,9493800
2012-01-26,16.809999,17.020000,16.719999,16.850000,15.001987,9946300
2012-01-27,16.910000,16.980000,16.650000,16.860001,15.010892,8046300
2012-01-30,16.600000,16.889999,16.450001,16.740000,14.904053,7696900
2012-01-31,16.879999,16.900000,16.500000,16.650000,14.823920,8432300
2012-02-01,16.830000,17.690001,16.799999,17.400000,15.491668,14037200
2012-02-02,17.490000,17.850000,17.270000,17.650000,15.714249,11454900
2012-02-03,17.570000,18.250000,17.459999,18.160000,16.168312,11012000
2012-02-06,18.090000,18.200001,17.940001,18.200001,16.203926,4466000
2012-02-07,18.049999,18.430000,18.000000,18.299999,16.292955,7640900
2012-02-08,18.400000,18.469999,18.100000,18.250000,16.248442,5301300
2012-02-09,18.190001,18.480000,18.120001,18.350000,16.337477,6359700
2012-02-10,18.049999,18.090000,17.549999,17.600000,15.669733,8622400
2012-02-13,null,null,null,null,null,null
2012-02-14,17.900000,17.920000,17.330000,17.350000,15.447149,8970000
2012-02-15,17.600000,17.690001,17.180000,17.200001,15.313600,8719000
2012-02-16,17.000000,17.459999,16.840000,17.340000,15.438246,9157700
2012-02-17,17.590000,17.820000,17.440001,17.719999,15.776572,8583500
2012-02-23,17.670000,17.900000,17.500000,17.610001,15.678638,4752500
2012-02-24,17.680000,17.870001,17.650000,17.780001,15.829987,3444800
2012-02-27,17.750000,17.750000,17.459999,17.480000,15.562894,4210900
2012-02-28,17.480000,17.709999,17.469999,17.639999,15.777549,5998800
2012-02-29,17.750000,18.180000,17.700001,17.950001,16.054827,8714300
