Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,7.566790,7.733670,7.457280,7.733670,7.316013,2374358
2012-01-03,7.759740,7.811890,7.686740,7.764960,7.345613,2731605
2012-01-04,7.738890,7.806680,7.629370,7.749320,7.330816,2456048
2012-01-05,7.796250,7.796250,7.545930,7.754530,7.335747,4789178
2012-01-06,7.811890,7.874470,7.665880,7.744100,7.325879,3633639
2012-01-09,7.822320,7.973550,7.676310,7.942270,7.513347,3353479
2012-01-10,8.030920,8.067420,7.937050,7.994410,7.562671,3083099
2012-01-11,7.994410,8.135220,7.848400,8.077850,7.641604,3072936
2012-01-12,8.124790,8.161290,7.858830,7.921410,7.493614,2969003
2012-01-13,7.916190,7.968340,7.744100,7.822320,7.399874,3077155
2012-01-16,7.822320,7.822320,7.822320,7.822320,7.399874,0
2012-01-17,null,null,null,null,null,null
2012-01-18,8.072640,8.161290,7.989200,8.083070,7.646544,3380901
2012-01-19,8.135220,8.291660,8.077850,8.239510,7.794534,4017349
2012-01-20,8.255160,8.343810,8.249940,8.343810,7.893201,4503457
2012-01-23,8.343810,8.385530,8.213440,8.291660,7.843867,3470836
2012-01-24,8.291660,8.422030,8.192580,8.422030,7.967198,4599337
2012-01-26,8.515900,8.886160,8.359460,8.771430,8.297727,8645257
2012-01-27,8.771430,8.834010,8.505470,8.562840,8.100402,4902508
2012-01-30,8.515900,8.594130,8.406390,8.526330,8.065864,3540061
2012-01-31,8.625420,8.912230,8.453320,8.807940,8.332266,7896056
2012-02-01,8.865300,8.912230,8.635850,8.901800,8.421058,5793995
2012-02-02,8.860080,8.901800,8.734930,8.849660,8.371733,4852075
2012-02-03,8.761000,9.126040,8.693210,8.917450,8.435863,3365560
2012-02-06,8.875730,9.053040,8.875730,8.995670,8.509857,2146549
2012-02-07,8.974810,9.126040,8.896590,9.126040,8.633186,2887697
2012-02-08,9.136470,9.178190,8.917450,9.068680,8.578923,8851974
2012-02-09,9.006100,9.047820,8.875730,8.990460,8.504929,4652646
2012-02-10,8.787080,9.152120,8.771430,9.021750,8.534531,4019458
2012-02-13,9.021750,9.021750,9.021750,9.021750,8.534531,0
2012-02-14,9.256420,9.459800,9.178190,9.204270,8.707192,4466256
2012-02-15,9.334640,9.423290,9.245990,9.318990,8.815717,7693366
2012-02-16,9.318990,9.402430,9.225130,9.334640,8.830522,4797040
2012-02-17,9.433720,9.485870,9.193840,9.485870,8.973585,3591069
2012-02-23,9.324210,9.433720,9.230340,9.360710,8.855184,2782997
2012-02-24,9.355500,9.412860,9.308560,9.365930,8.860122,2679830
2012-02-27,9.355500,9.402430,9.256420,9.334640,8.830522,2562282
2012-02-28,9.318990,9.392000,9.261630,9.308560,8.805851,4689463
2012-02-29,9.365930,9.595380,9.298140,9.543230,9.027848,4423877
2012-03-01,9.569310,9.699680,9.470230,9.543230,9.027848,3775157
2012-03-02,9.611030,9.611030,9.026960,9.120830,8.628259,14662268
2012-03-05,9.115610,9.172980,8.995670,9.172980,8.677592,4711324
2012-03-06,9.047820,9.079110,8.797510,8.943520,8.460524,6262845
2012-03-07,9.047820,9.178190,8.927880,8.990460,8.504929,5027918
2012-03-08,9.178190,9.433720,9.141690,9.386790,8.879854,10461981
2012-03-09,9.386790,9.412860,9.157330,9.193840,8.697327,5794762
2012-03-12,9.094750,9.287710,9.026960,9.219910,8.787172,3088085
2012-03-13,9.292920,9.412860,9.099970,9.412860,8.971066,4346599
2012-03-14,9.350280,9.376360,9.021750,9.131260,8.702682,3988777
2012-03-15,9.021750,9.042610,8.802720,8.865300,8.449204,4915739
2012-03-16,8.860080,9.126040,8.740140,8.818370,8.404477,4523976
2012-03-19,8.875730,9.126040,8.860080,9.016530,8.593339,3794717
2012-03-20,8.907020,9.011320,8.901800,9.011320,8.588372,2465636
2012-03-21,9.011320,9.146900,8.865300,8.865300,8.449204,2468512
2012-03-22,9.011320,9.146900,8.865300,8.865300,8.449204,2468512
2012-03-23,8.886160,9.068680,8.813150,9.068680,8.643040,2790667
2012-03-26,9.068680,9.256420,9.000890,9.230340,8.797113,1829572
2012-03-27,9.230340,9.318990,9.047820,9.047820,8.623158,2755575
2012-03-28,9.053040,9.193840,8.912230,9.152120,8.722563,3638817
2012-03-29,9.016530,9.146900,8.974810,9.126040,8.697708,3275433
2012-03-30,9.120830,9.146900,8.901800,8.969600,8.548610,3252039
2012-04-02,8.964380,9.240770,8.953950,9.152120,8.722563,2789516
2012-04-03,9.094750,9.240770,9.094750,9.178190,8.747410,1573573
2012-04-04,9.099970,9.225130,8.964380,8.964380,8.543637,3130464
2012-04-05,8.964380,9.199050,8.964380,9.172980,8.742445,2051245
2012-04-09,8.985240,9.110400,8.953950,9.063470,8.638074,812482
2012-04-10,9.026960,9.053040,8.714070,8.995670,8.573457,7414741
2012-04-11,9.006100,9.042610,8.734930,8.761000,8.349798,3429799
2012-04-12,8.761000,9.272060,8.755790,9.272060,8.836872,4230201
2012-04-13,9.126040,9.204270,8.922660,9.073900,8.648015,2565542
2012-04-16,9.073900,9.136470,8.834010,8.980030,8.558550,2324118
2012-04-17,9.006100,9.188620,8.995670,9.016530,8.593339,2724894
2012-04-18,9.006100,9.193840,8.927880,9.006100,8.583397,5483537
2012-04-19,9.000890,9.105180,8.907020,9.037390,8.613217,2018646
2012-04-20,9.047820,9.126040,8.927880,8.927880,8.508849,1269444
2012-04-23,8.834010,8.854870,8.609770,8.745360,8.334895,2457390
2012-04-24,8.614990,8.922660,8.568050,8.922660,8.503873,2833046
2012-04-25,9.032180,9.047820,8.813150,8.865300,8.449204,2262563
2012-04-26,8.807940,9.068680,8.724500,9.068680,8.643040,2405807
2012-04-27,9.126040,9.272060,8.995670,9.256420,8.821969,2210213
2012-04-30,9.240770,9.345070,9.126040,9.345070,8.906458,2322392
2012-05-02,9.240770,9.345070,9.126040,9.345070,8.906458,2322392
2012-05-03,9.346670,9.653330,9.346670,9.600000,9.149423,1850550
2012-05-04,9.533330,9.986670,9.300000,9.386670,8.946107,7523400
2012-05-07,9.273330,9.426670,9.233330,9.260000,8.825380,3252150
2012-05-08,9.260000,9.280000,8.926670,8.966670,8.545816,5006850
2012-05-09,8.760000,9.126670,8.660000,9.120000,8.691950,6964950
2012-05-10,9.140000,9.266670,9.053330,9.133330,8.704657,2012250
2012-05-11,9.193330,9.346670,9.046670,9.346670,8.907983,2577000
2012-05-14,9.253330,9.320000,8.966670,9.066670,8.641124,4397400
2012-05-15,9.020000,9.120000,8.600000,8.686670,8.278959,4572300
2012-05-16,8.686670,8.686670,8.686670,8.686670,8.278959,0
2012-05-17,8.433330,8.546670,8.086670,8.180000,7.796071,6159600
2012-05-18,8.286670,8.520000,8.040000,8.173330,7.789714,5823450
2012-05-21,8.173330,8.173330,8.173330,8.173330,7.789714,0
2012-05-22,8.266670,8.400000,7.973330,8.073330,7.694406,4454250
2012-05-23,8.073330,8.186670,7.480000,7.760000,7.395784,10291200
2012-05-24,7.733330,7.873330,7.566670,7.826670,7.459323,6369900
2012-05-25,7.793330,8.240000,7.673330,8.240000,7.853255,4278150
2012-05-28,8.253330,8.433330,8.233330,8.253330,7.865958,2948400
2012-05-29,8.266670,8.360000,7.873330,7.920000,7.548274,4198500
2012-05-30,7.826670,7.880000,7.693330,7.800000,7.433906,3480900
2012-05-31,7.800000,8.173330,7.800000,8.100000,7.719827,5517300
2012-06-01,7.960000,8.040000,7.766670,7.766670,7.402141,6157800
2012-06-04,7.853330,8.000000,7.706670,7.900000,7.529212,3078750
2012-06-05,7.900000,8.113330,7.766670,7.766670,7.402141,2893800
2012-06-06,7.806670,8.013330,7.806670,7.900000,7.529212,3949800
2012-06-08,7.866670,7.993330,7.806670,7.853330,7.484734,2623200
2012-06-11,7.953330,8.093330,7.833330,7.900000,7.529212,2355450
2012-06-12,7.900000,8.186670,7.900000,8.160000,7.777009,1794150
2012-06-13,8.120000,8.446670,8.026670,8.180000,7.796071,4366050
2012-06-14,8.266670,8.320000,8.000000,8.086670,7.707120,2602500
2012-06-15,8.140000,8.260000,8.060000,8.240000,7.853255,2091150
2012-06-18,8.240000,8.240000,8.240000,8.240000,7.853255,0
2012-06-19,8.146670,8.360000,8.086670,8.360000,7.967623,3132000
2012-06-20,8.353330,8.466670,8.213330,8.360000,7.967623,2519700
2012-06-21,8.386670,8.386670,8.073330,8.113330,7.732530,1456200
2012-06-22,8.226670,8.233330,8.113330,8.220000,7.834192,1880100
2012-06-25,8.080000,8.333330,8.073330,8.333330,7.942203,1223100
2012-06-26,8.326670,8.346670,8.020000,8.086670,7.707120,3459600
2012-06-27,8.086670,8.220000,8.013330,8.093330,7.713469,1940250
2012-06-28,8.060000,8.333330,8.060000,8.300000,7.910440,2011500
2012-06-29,8.526670,8.833330,8.346670,8.833330,8.418737,4053150
2012-07-02,8.713330,9.040000,8.673330,9.000000,8.577583,3144150
2012-07-03,9.000000,9.233330,8.866670,9.100000,8.672890,4097550
2012-07-04,9.066670,9.166670,8.940000,9.133330,8.704657,1302300
2012-07-05,9.126670,9.253330,8.960000,9.006670,8.583942,3072600
2012-07-06,8.926670,8.953330,8.660000,8.786670,8.374268,2388300
2012-07-10,8.853330,8.860000,8.566670,8.613330,8.209061,2596650
2012-07-11,8.653330,8.740000,8.506670,8.566670,8.164594,2155500
2012-07-12,8.546670,8.726670,8.486670,8.646670,8.240838,1386150
2012-07-13,8.746670,8.906670,8.646670,8.826670,8.412390,2325300
2012-07-16,8.826670,8.826670,8.826670,8.826670,8.412390,0
2012-07-17,8.733330,8.900000,8.666670,8.866670,8.450511,1576050
2012-07-18,8.833330,9.086670,8.806670,8.986670,8.564878,2069100
2012-07-19,9.040000,9.233330,9.013330,9.180000,8.749137,2655750
2012-07-20,9.040000,9.146670,8.780000,8.826670,8.412390,2383200
2012-07-23,8.666670,8.893330,8.600000,8.893330,8.475921,1868550
2012-07-24,8.840000,8.993330,8.660000,8.813330,8.399673,1940850
2012-07-25,8.960000,8.960000,8.693330,8.813330,8.399673,836400
2012-07-26,8.966670,9.293330,8.806670,9.233330,8.799961,2070900
2012-07-27,9.326670,10.146700,9.260000,9.753330,9.295556,4810800
2012-07-30,9.746670,9.986670,9.553330,9.780000,9.320973,3437850
2012-07-31,9.660000,9.820000,9.480000,9.706670,9.251086,2665350
2012-08-01,9.706670,10.000000,9.566670,9.846670,9.384514,2980050
2012-08-02,9.686670,9.826670,9.486670,9.646670,9.193903,2335200
2012-08-03,9.866670,10.073300,9.800000,10.026700,9.556094,3846150
2012-08-06,10.000000,10.333300,9.980000,10.080000,9.606894,3735600
2012-08-07,10.180000,10.273300,9.800000,9.913330,9.448046,2955300
2012-08-08,9.913330,9.913330,9.913330,9.913330,9.448046,0
2012-08-09,9.813330,10.100000,9.766670,9.933330,9.467108,2563350
2012-08-10,9.813330,10.100000,9.766670,9.933330,9.467108,2563350
2012-08-13,10.140000,10.280000,9.953330,10.240000,9.759384,2791800
2012-08-14,10.166700,10.366700,9.926670,10.000000,9.530648,3502650
2012-08-15,9.886670,9.980000,9.333330,9.546670,9.098595,9906300
2012-08-16,9.666670,9.733330,9.300000,9.646670,9.193903,5944650
2012-08-17,9.666670,9.780000,9.313330,9.340000,8.901629,3529950
2012-08-20,9.446670,9.533330,9.326670,9.460000,9.015992,3321000
2012-08-21,9.580000,9.773330,9.553330,9.626670,9.174842,3642300
2012-08-22,9.653330,9.920000,9.613330,9.800000,9.340034,4857900
2012-08-23,9.673330,9.800000,9.513330,9.800000,9.340034,2181000
2012-08-24,9.720000,9.800000,9.553330,9.740000,9.282852,2119950
2012-08-27,9.653330,9.793330,9.606670,9.653330,9.200249,1349100
2012-08-28,9.653330,9.833330,9.586670,9.733330,9.276495,1908600
2012-08-29,9.693330,9.740000,9.466670,9.693330,9.238373,2413650
