Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,7.761150,8.163270,7.709750,8.130010,6.062236,8082207
2012-01-03,8.111870,8.465610,8.012090,8.374910,6.244848,5068413
2012-01-04,8.166290,8.181410,7.987910,8.057450,6.008130,4644392
2012-01-05,8.009070,8.066520,7.785340,7.806500,5.821006,2972120
2012-01-06,7.845800,8.045350,7.770220,7.860920,5.861585,2058257
2012-01-09,7.860920,8.117910,7.815570,8.048370,6.001359,2457142
2012-01-10,8.133030,8.241870,8.036280,8.036280,5.992344,2279860
2012-01-11,8.036280,8.117910,7.830690,7.851850,5.854821,1965978
2012-01-12,7.906270,7.966740,7.836730,7.891160,5.884134,1721554
2012-01-13,7.891160,7.930460,7.664400,7.736960,5.769153,2686682
2012-01-16,7.736960,7.736960,7.736960,7.736960,5.769153,0
2012-01-17,null,null,null,null,null,null
2012-01-18,8.036280,8.278160,8.027210,8.238850,6.143393,2781608
2012-01-19,8.244900,8.492820,8.223730,8.471660,6.316991,2464088
2012-01-20,8.462590,8.628870,8.423280,8.480730,6.323755,2748863
2012-01-23,8.471660,8.471660,8.281180,8.320480,6.204261,2688998
2012-01-24,8.314440,8.365840,8.202570,8.314440,6.199757,1763890
2012-01-26,8.362810,8.704460,8.353740,8.520030,6.353059,4736340
2012-01-27,8.622830,8.752830,8.368860,8.556310,6.380110,4487285
2012-01-30,8.510960,8.595620,8.393050,8.480730,6.323755,3961724
2012-01-31,8.513980,8.879820,8.495840,8.674230,6.468038,6381490
2012-02-01,8.710510,8.919120,8.710510,8.919120,6.650645,6981140
2012-02-02,8.900980,8.900980,8.640970,8.686320,6.477056,5269178
2012-02-03,8.737720,9.064250,8.716550,8.904010,6.639378,4480009
2012-02-06,9.000760,9.281930,8.922150,9.161000,6.831006,5649541
2012-02-07,9.003780,9.354500,8.964470,9.233560,6.885109,2227601
2012-02-08,9.233560,9.287980,8.994710,9.000760,6.711521,5323421
2012-02-09,9.040060,9.154950,8.940290,9.049130,6.747588,2542475
