Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,10.150000,10.530000,10.080000,10.530000,10.191957,4216900
2012-01-03,10.540000,10.850000,10.500000,10.820000,10.472647,5198100
2012-01-04,10.710000,10.800000,10.540000,10.590000,10.250031,4924100
2012-01-05,10.560000,10.590000,10.320000,10.390000,10.056452,4931400
2012-01-06,10.400000,10.570000,10.250000,10.400000,10.066131,6424600
2012-01-09,10.460000,10.650000,10.440000,10.590000,10.250031,4050400
2012-01-10,10.800000,10.980000,10.700000,10.940000,10.588795,5869400
2012-01-11,10.900000,11.130000,10.830000,11.070000,10.714622,5476800
2012-01-12,11.200000,11.370000,11.020000,11.330000,10.966275,6676900
2012-01-13,11.320000,11.400000,10.920000,10.960000,10.608154,4814100
2012-01-16,10.940000,11.180000,10.860000,11.130000,10.772696,2629700
2012-01-17,null,null,null,null,null,null
2012-01-18,11.060000,11.200000,10.920000,11.160000,10.801732,5469300
2012-01-19,11.230000,11.370000,11.030000,11.030000,10.675905,5624800
2012-01-20,11.050000,11.480000,10.910000,11.480000,11.111459,6672800
2012-01-23,11.540000,11.950000,11.520000,11.670000,11.295361,8003400
2012-01-24,11.580000,11.700000,11.320000,11.650000,11.276002,6330200
2012-01-26,11.810000,11.880000,11.600000,11.600000,11.227608,4836900
2012-01-27,11.620000,11.750000,11.500000,11.710000,11.334075,3445900
2012-01-30,11.570000,11.750000,11.420000,11.670000,11.295361,2901600
2012-01-31,11.750000,11.820000,11.610000,11.720000,11.343755,3862300
2012-02-01,11.840000,11.980000,11.730000,11.790000,11.411510,4401200
2012-02-02,11.760000,11.860000,11.580000,11.710000,11.334075,3788000
2012-02-03,11.600000,12.220000,11.600000,12.000000,11.614767,8417500
2012-02-06,12.050000,12.090000,11.840000,11.960000,11.576051,3124600
2012-02-07,11.880000,12.220000,11.870000,12.170000,11.779309,4093500
2012-02-08,12.250000,12.290000,12.090000,12.160000,11.769629,4534600
2012-02-09,12.110000,12.430000,12.110000,12.400000,12.001925,7372000
2012-02-10,12.160000,12.330000,11.850000,11.850000,11.469583,7591000
2012-02-13,12.050000,12.190000,11.950000,12.190000,11.798667,4650000
2012-02-14,12.250000,12.280000,11.900000,11.990000,11.605086,3732800
2012-02-15,12.120000,12.180000,11.690000,11.960000,11.576051,7036800
2012-02-16,11.780000,11.950000,11.760000,11.890000,11.508298,5157800
2012-02-17,11.910000,12.090000,11.870000,11.980000,11.595407,4588600
2012-02-23,11.960000,12.050000,11.850000,11.870000,11.488940,4143900
2012-02-24,11.920000,11.950000,11.820000,11.860000,11.479260,2486700
2012-02-27,11.750000,11.840000,11.610000,11.690000,11.314717,2977100
2012-02-28,11.670000,11.850000,11.620000,11.750000,11.372791,4187600
2012-02-29,11.840000,11.940000,11.620000,11.650000,11.276002,5575000
2012-03-01,11.650000,12.000000,11.650000,11.910000,11.527655,5627600
2012-03-02,12.000000,12.260000,11.950000,12.180000,11.788988,6410600
2012-03-05,12.260000,12.700000,12.260000,12.520000,12.118073,11597900
2012-03-06,12.380000,12.470000,12.020000,12.150000,11.759951,6817900
2012-03-07,12.230000,12.280000,11.710000,11.880000,11.498619,9735600
2012-03-08,12.000000,12.120000,11.750000,12.010000,11.624446,6953300
2012-03-09,12.080000,12.180000,11.950000,12.010000,11.624446,4068100
2012-03-12,11.890000,12.240000,11.850000,12.170000,11.779309,5039500
2012-03-13,12.260000,12.750000,12.210000,12.720000,12.311653,6938700
2012-03-14,12.780000,13.390000,12.750000,13.390000,12.960144,10712500
2012-03-15,13.260000,13.680000,13.210000,13.530000,13.095649,7590300
2012-03-16,13.600000,13.650000,13.310000,13.610000,13.173080,4641800
2012-03-19,null,null,null,null,null,null
2012-03-20,13.320000,13.640000,13.240000,13.640000,13.202118,6342500
2012-03-21,13.600000,13.700000,13.100000,13.100000,12.679455,6998000
2012-03-22,12.870000,13.070000,12.680000,12.930000,12.514911,6998000
2012-03-23,13.090000,13.340000,12.900000,13.100000,12.679455,5783200
2012-03-26,13.290000,13.380000,12.910000,12.950000,12.534267,6269500
2012-03-27,12.950000,13.000000,12.190000,12.200000,11.808345,11712400
2012-03-28,12.100000,12.180000,11.760000,12.010000,11.624446,9487500
2012-03-29,11.860000,12.180000,11.820000,12.020000,11.634125,4021000
2012-03-30,12.230000,12.240000,11.960000,12.010000,11.624446,5281900
2012-04-02,12.070000,12.520000,11.960000,12.340000,11.943851,5741200
2012-04-03,12.340000,12.440000,11.810000,12.090000,11.701878,4364600
2012-04-04,11.950000,12.200000,11.910000,12.070000,11.682518,3426500
2012-04-05,11.990000,12.280000,11.910000,12.050000,11.663161,4516100
2012-04-09,11.860000,11.950000,11.680000,11.890000,11.508298,3505600
2012-04-10,11.900000,11.900000,11.450000,11.610000,11.237287,6303300
2012-04-11,11.700000,11.750000,11.370000,11.440000,11.072742,4110500
2012-04-12,11.290000,11.420000,11.100000,11.380000,11.014669,8008100
2012-04-13,11.300000,11.480000,11.070000,11.240000,10.879165,4438200
2012-04-16,11.260000,11.450000,11.120000,11.270000,10.908201,3719600
2012-04-17,11.350000,11.800000,11.270000,11.700000,11.324397,5658800
2012-04-18,11.700000,12.190000,11.600000,11.970000,11.585730,8545100
2012-04-19,11.950000,12.070000,11.610000,11.720000,11.343755,4971900
2012-04-20,11.800000,11.910000,11.610000,11.650000,11.276002,2369200
2012-04-23,11.360000,11.420000,11.130000,11.360000,10.995312,4045100
2012-04-24,11.100000,11.250000,10.950000,11.250000,10.888843,6161800
2012-04-25,11.370000,11.670000,11.100000,11.270000,10.908201,4936900
2012-04-26,11.060000,11.250000,11.050000,11.150000,10.792054,4086800
2012-04-27,11.190000,11.240000,10.990000,11.020000,10.666227,3321200
2012-04-30,11.000000,11.100000,10.840000,10.920000,10.569438,2817300
2012-05-02,10.910000,11.010000,10.710000,10.990000,10.637189,2817300
2012-05-03,10.990000,11.080000,10.750000,10.800000,10.453289,3650700
2012-05-04,10.690000,10.790000,10.250000,10.250000,9.920947,8656500
2012-05-07,10.100000,10.320000,10.020000,10.200000,9.872552,7728100
2012-05-08,10.170000,10.180000,9.940000,10.180000,9.853193,8487100
2012-05-09,10.100000,10.330000,10.020000,10.180000,9.853193,5168700
2012-05-10,10.280000,10.570000,10.230000,10.360000,10.027414,5177300
2012-05-11,10.240000,10.540000,10.160000,10.350000,10.017736,3778600
2012-05-14,10.200000,10.280000,10.000000,10.040000,9.717688,3440400
2012-05-15,10.040000,10.230000,9.850000,9.950000,9.630577,5284800
2012-05-16,10.050000,10.180000,9.950000,10.050000,9.727367,6003000
2012-05-17,10.180000,10.180000,9.500000,9.510000,9.204701,7453200
2012-05-18,9.500000,9.550000,9.100000,9.390000,9.088555,7166800
2012-05-21,null,null,null,null,null,null
2012-05-22,9.840000,9.980000,9.410000,9.520000,9.214381,6931300
2012-05-23,9.450000,9.640000,9.150000,9.400000,9.098232,6068600
2012-05-24,9.490000,9.540000,9.030000,9.200000,8.904655,6431700
2012-05-25,9.110000,9.540000,9.050000,9.220000,8.924012,4164200
2012-05-28,9.350000,9.400000,9.220000,9.270000,8.972407,1395900
2012-05-29,9.350000,9.370000,9.060000,9.090000,8.798185,4214500
2012-05-30,9.010000,9.080000,8.740000,8.900000,8.614285,5448700
2012-05-31,8.960000,8.960000,8.500000,8.500000,8.227126,14273000
2012-06-01,8.200000,8.480000,8.160000,8.360000,8.091619,7076000
2012-06-04,8.480000,8.540000,8.160000,8.160000,7.898041,4877200
2012-06-05,8.230000,8.270000,7.700000,7.780000,7.530241,9632400
2012-06-06,7.860000,7.950000,7.510000,7.510000,7.268908,18084200
2012-06-08,7.750000,7.800000,7.370000,7.690000,7.443129,10091200
2012-06-11,7.830000,8.110000,7.780000,7.940000,7.685104,9398100
2012-06-12,8.010000,8.040000,7.640000,7.810000,7.559277,8959500
2012-06-13,7.750000,7.900000,7.610000,7.900000,7.646388,10862600
2012-06-14,7.800000,7.970000,7.740000,7.780000,7.530241,5128600
