Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,5.633140,5.633140,5.520710,5.520710,4.111887,183534
2012-01-03,5.550300,5.943790,5.550300,5.650890,4.208845,3134950
2012-01-04,5.650890,5.710060,5.650890,5.680470,4.230878,569530
2012-01-05,5.621300,5.763310,5.621300,5.715980,4.257326,378898
2012-01-06,5.786980,5.798820,5.565090,5.650890,4.208845,1718730
2012-01-09,5.665680,5.692310,5.603550,5.650890,4.208845,1256684
2012-01-10,5.656800,5.686390,5.582840,5.621300,4.186806,851760
2012-01-11,5.621300,5.642010,5.550300,5.621300,4.186806,545532
2012-01-12,5.621300,5.650890,5.579880,5.621300,4.186806,260936
2012-01-13,5.603550,5.650890,5.565090,5.650890,4.208845,271414
2012-01-16,5.650890,5.680470,5.624260,5.650890,4.208845,174746
2012-01-17,5.650890,5.674560,5.633140,5.650890,4.208845,564798
2012-01-18,5.668640,5.689350,5.624260,5.636090,4.197822,100048
2012-01-19,5.636090,5.739640,5.636090,5.668640,4.222064,357604
2012-01-20,5.665680,5.739640,5.644970,5.662720,4.217657,281554
2012-01-23,5.662720,5.724850,5.653850,5.671600,4.224269,346788
2012-01-24,5.653850,5.875740,5.644970,5.769230,4.296987,1387152
2012-01-26,5.766270,5.914200,5.766270,5.860950,4.365301,1397968
2012-01-27,5.887570,5.917160,5.798820,5.798820,4.319024,859196
2012-01-30,5.772190,5.772190,5.650890,5.701180,4.246302,1316510
2012-01-31,5.721890,5.828400,5.665680,5.763310,4.292578,1203956
2012-02-01,5.819530,5.819530,5.751480,5.757400,4.288175,796328
2012-02-02,5.763310,5.822490,5.680470,5.698220,4.244098,1077882
2012-02-03,5.683430,5.804730,5.668640,5.680470,4.230878,753740
2012-02-06,5.715980,5.881660,5.624260,5.872780,4.374111,759824
2012-02-07,5.887570,6.079880,5.887570,5.991120,4.462252,3644992
2012-02-08,6.065090,6.118340,5.920120,5.923080,4.411576,3136978
2012-02-09,5.917160,5.982250,5.754440,5.801780,4.321231,969046
2012-02-10,5.739640,5.781070,5.695270,5.695270,4.241900,1118442
2012-02-13,5.710060,5.813610,5.650890,5.813610,4.330041,455962
2012-02-14,5.863910,5.863910,5.650890,5.653850,4.211051,2288260
2012-02-15,5.733730,5.733730,5.650890,5.650890,4.208845,757796
2012-02-16,5.653850,5.715980,5.488170,5.650890,4.208845,1543984
2012-02-17,5.710060,5.733730,5.639050,5.695270,4.241900,340028
2012-02-23,5.665680,5.769230,5.591720,5.710060,4.252917,553644
2012-02-24,5.671600,5.798820,5.665680,5.730770,4.268342,445822
2012-02-27,5.739640,5.739640,5.665680,5.668640,4.222064,1127230
2012-02-28,5.665680,5.692310,5.606510,5.615380,4.182396,3033550
2012-02-29,5.636090,5.689350,5.594670,5.650890,4.208845,757796
2012-03-01,5.650890,5.689350,5.636090,5.674560,4.226476,1040702
2012-03-02,5.650890,5.869820,5.597630,5.837280,4.347673,2291978
2012-03-05,5.828400,5.952660,5.804730,5.807690,4.325632,1188408
2012-03-06,5.795860,5.840240,5.677510,5.701180,4.246302,351858
2012-03-07,5.730770,5.914200,5.727810,5.801780,4.321231,1008592
2012-03-08,5.872780,5.946750,5.804730,5.828400,4.341057,657410
2012-03-09,5.884620,5.917160,5.745560,5.745560,4.279359,1754558
2012-03-12,5.789940,5.840240,5.754440,5.784020,4.308002,813904
2012-03-13,5.754440,5.843200,5.713020,5.828400,4.341057,1788020
2012-03-14,5.852070,6.056210,5.828400,5.928990,4.415977,1334086
2012-03-15,5.931950,6.005920,5.931950,5.976330,4.451236,1511198
2012-03-16,5.976330,5.991120,5.849110,5.849110,4.356483,2245334
2012-03-19,5.917160,5.931950,5.831360,5.917160,4.407166,512408
2012-03-20,5.878700,5.934910,5.772190,5.807690,4.325632,557024
2012-03-21,5.846150,5.917160,5.804730,5.905330,4.448140,735826
2012-03-22,5.846150,5.917160,5.804730,5.905330,4.448140,735826
2012-03-23,5.813610,5.813610,5.751480,5.789940,4.361223,358956
2012-03-26,5.819530,5.917160,5.769230,5.917160,4.457050,954174
2012-03-27,5.928990,6.000000,5.866860,5.961540,4.490479,2358226
2012-03-28,5.997040,5.997040,5.887570,5.931950,4.468190,1534858
2012-03-29,5.946750,5.949700,5.860950,5.860950,4.414711,576290
2012-03-30,5.961540,5.973370,5.857990,5.857990,4.412480,860886
2012-04-02,5.887570,5.920120,5.801780,5.828400,4.390193,2164890
2012-04-03,5.878700,5.884620,5.798820,5.813610,4.379053,909220
2012-04-04,5.869820,5.869820,5.579880,5.715980,4.305513,1839734
2012-04-05,5.721890,5.751480,5.639050,5.736690,4.321113,795652
2012-04-09,5.674560,5.745560,5.674560,5.680470,4.278766,2409940
2012-04-10,5.680470,5.754440,5.680470,5.739640,4.323334,333944
2012-04-11,5.739640,5.849110,5.736690,5.736690,4.321113,352872
2012-04-12,5.798820,5.902370,5.754440,5.754440,4.334482,478270
2012-04-13,5.801780,5.825440,5.745560,5.757400,4.336713,281216
2012-04-16,5.769230,5.840240,5.742600,5.792900,4.363452,279864
2012-04-17,5.760360,5.917160,5.760360,5.917160,4.457050,1720082
2012-04-18,5.943790,6.014790,5.923080,5.976330,4.501619,688844
2012-04-19,6.005920,6.073960,5.917160,6.005920,4.523908,732108
2012-04-20,6.035500,6.035500,5.982250,5.988170,4.510537,795990
2012-04-23,6.029590,6.029590,5.792900,5.917160,4.457050,766922
2012-04-24,5.917160,5.955620,5.899410,5.955620,4.486020,344084
2012-04-25,5.961540,5.973370,5.866860,5.917160,4.457050,838578
2012-04-26,5.875740,5.917160,5.769230,5.781070,4.354541,510042
2012-04-27,5.801780,5.961540,5.786980,5.961540,4.490479,430950
2012-04-30,5.908280,5.973370,5.869820,5.958580,4.488249,154466
2012-05-02,5.908280,5.973370,5.869820,5.958580,4.488249,154466
2012-05-03,5.896450,6.053250,5.837280,5.931950,4.468190,897728
2012-05-04,5.875740,6.053250,5.872780,5.917160,4.457050,1311440
2012-05-07,5.846150,5.979290,5.846150,5.946750,4.479339,769626
2012-05-08,5.917160,6.032540,5.890530,6.032540,4.543959,249782
2012-05-09,5.955620,6.005920,5.878700,6.005920,4.523908,628680
2012-05-10,6.002960,6.050300,5.920120,6.050300,4.557337,560404
2012-05-11,6.032540,6.062130,6.005920,6.062130,4.566248,342056
2012-05-14,6.059170,6.062130,5.931950,5.931950,4.468190,499226
2012-05-15,5.931950,6.014790,5.810650,5.931950,4.468190,1026168
2012-05-16,5.958580,6.002960,5.917160,5.926040,4.463738,543842
2012-05-17,5.928990,5.994080,5.917160,5.917160,4.457050,1005888
2012-05-18,5.917160,5.937870,5.917160,5.917160,4.457050,2734420
2012-05-21,5.917160,5.917160,5.917160,5.917160,4.457050,0
2012-05-22,5.920120,5.958580,5.917160,5.940830,4.474880,2204774
2012-05-23,5.934910,5.934910,5.857990,5.917160,4.457050,1341860
2012-05-24,5.961540,5.961540,5.917160,5.917160,4.457050,480636
2012-05-25,5.914200,5.991120,5.914200,5.991120,4.512759,305214
2012-05-28,5.979290,6.023670,5.970410,6.017750,4.532818,444808
2012-05-29,6.017750,6.050300,5.985210,6.002960,4.521678,493818
2012-05-30,6.008880,6.008880,5.931950,5.976330,4.501619,1166776
2012-05-31,5.976330,6.195270,5.958580,6.153850,4.635334,997438
2012-06-01,6.112430,6.112430,5.967460,5.991120,4.512759,766246
2012-06-04,6.032540,6.056210,5.896450,5.902370,4.445910,800384
2012-06-05,5.946750,5.976330,5.869820,5.869820,4.421392,1392222
2012-06-06,5.872780,6.183430,5.872780,6.000000,4.519449,1216462
2012-06-08,6.005920,6.130180,5.920120,5.920120,4.459279,1508156
2012-06-11,6.032540,6.035500,5.920120,5.920120,4.459279,260598
