Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,12.110000,12.430000,12.110000,12.240000,8.965529,1848400
2012-01-03,12.310000,12.460000,12.140000,12.160000,8.906932,3769300
2012-01-04,12.210000,12.210000,11.830000,11.980000,8.775086,3569000
2012-01-05,11.950000,11.990000,11.740000,11.900000,8.716488,3077700
2012-01-06,11.960000,12.050000,11.700000,11.840000,8.672540,2154800
2012-01-09,11.850000,12.080000,11.770000,11.950000,8.753111,1867100
2012-01-10,12.000000,12.200000,11.860000,12.110000,8.870308,2352900
2012-01-11,11.950000,12.060000,11.800000,11.880000,8.701838,2628600
2012-01-12,11.920000,12.020000,11.440000,11.530000,8.445469,5440600
2012-01-13,11.560000,11.600000,11.400000,11.530000,8.445469,5295900
2012-01-16,11.530000,11.650000,11.500000,11.570000,8.474768,2210900
2012-01-17,null,null,null,null,null,null
2012-01-18,11.650000,11.690000,11.280000,11.520000,8.438146,4240500
2012-01-19,11.590000,11.650000,11.410000,11.500000,8.423496,3649300
2012-01-20,11.500000,11.790000,11.450000,11.610000,8.504067,3648100
2012-01-23,11.590000,11.860000,11.590000,11.750000,8.606616,2452600
2012-01-24,11.760000,11.940000,11.570000,11.800000,8.643239,3480000
2012-01-26,11.900000,12.060000,11.810000,12.000000,8.789735,4139500
2012-01-27,11.990000,12.050000,11.760000,11.880000,8.701838,2444300
2012-01-30,11.820000,11.990000,11.800000,11.900000,8.716488,3010100
2012-01-31,11.980000,12.180000,11.940000,12.160000,8.906932,7297900
2012-02-01,12.160000,13.100000,12.130000,12.830000,9.397691,8771500
2012-02-02,12.740000,13.460000,12.510000,12.950000,9.485589,6753900
2012-02-03,12.930000,13.000000,12.500000,12.780000,9.361069,5789900
2012-02-06,12.800000,13.260000,12.800000,13.100000,9.595461,8139800
2012-02-07,12.950000,13.590000,12.950000,13.270000,9.719982,5080300
2012-02-08,13.200000,13.300000,12.810000,13.190000,9.661383,3935600
2012-02-09,13.120000,13.200000,12.840000,12.950000,9.485589,3851500
2012-02-10,12.700000,12.980000,12.630000,12.800000,9.375719,3815900
2012-02-13,12.960000,13.100000,12.900000,12.970000,9.500239,1707100
2012-02-14,13.000000,13.440000,12.970000,13.300000,9.741957,7841800
2012-02-15,13.480000,13.980000,13.330000,13.970000,10.232717,4857100
2012-02-16,13.850000,14.180000,13.680000,13.760000,10.078896,3212700
2012-02-17,13.800000,13.900000,13.670000,13.890000,10.174120,2924200
2012-02-23,14.060000,14.100000,13.660000,13.700000,10.034948,3522300
2012-02-24,13.780000,13.810000,13.400000,13.700000,10.034948,3759400
2012-02-27,13.740000,13.840000,13.450000,13.620000,9.976349,3291800
2012-02-28,13.610000,13.950000,13.570000,13.760000,10.078896,4115800
2012-02-29,13.800000,13.980000,13.580000,13.720000,10.049596,3661500
2012-03-01,13.720000,14.290000,13.700000,14.000000,10.254690,3197100
2012-03-02,14.120000,14.230000,13.650000,13.910000,10.188767,4667500
2012-03-05,13.940000,13.940000,13.480000,13.630000,9.983674,4706100
2012-03-06,13.460000,14.070000,13.300000,14.000000,10.254690,4550900
2012-03-07,14.090000,14.490000,13.940000,14.320000,10.489082,4420400
2012-03-08,14.700000,14.770000,14.330000,14.640000,10.723477,7506300
2012-03-09,14.630000,14.630000,14.350000,14.430000,10.569657,5176900
2012-03-12,14.320000,14.470000,14.000000,14.260000,10.445136,4672800
2012-03-13,14.400000,14.690000,14.160000,14.370000,10.525708,7170300
2012-03-14,14.390000,14.600000,14.220000,14.380000,10.533031,3477600
2012-03-15,14.270000,14.570000,14.210000,14.400000,10.547683,5398700
2012-03-16,14.590000,14.680000,14.340000,14.500000,10.620929,5751400
2012-03-19,14.500000,14.750000,14.400000,14.600000,10.694178,3440400
2012-03-20,14.470000,14.600000,14.460000,14.550000,10.657554,3402400
2012-03-21,14.560000,14.900000,14.500000,14.900000,10.913921,3365600
2012-03-22,14.840000,15.030000,14.700000,14.830000,10.862648,3365600
2012-03-23,14.900000,15.020000,14.720000,14.800000,10.840672,3538200
2012-03-26,14.920000,15.150000,14.750000,15.150000,11.097039,3922000
2012-03-27,14.940000,15.700000,14.930000,15.500000,11.353409,7008400
2012-03-28,15.520000,15.690000,14.990000,15.000000,10.987169,5099100
2012-03-29,14.800000,14.910000,14.510000,14.830000,10.862648,3620200
2012-03-30,14.890000,15.100000,14.710000,14.780000,10.826023,3472500
2012-04-02,14.800000,15.310000,14.740000,15.310000,11.214237,3620000
2012-04-03,15.310000,15.590000,15.230000,15.490000,11.346083,2282900
2012-04-04,15.460000,15.630000,15.310000,15.500000,11.353409,2244200
2012-04-05,15.510000,15.850000,15.400000,15.650000,11.463280,3561300
2012-04-09,15.400000,15.610000,15.100000,15.240000,11.162962,1129100
2012-04-10,15.240000,15.340000,15.000000,15.000000,10.987169,1602400
