Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,5.970000,6.046670,5.970000,5.970000,4.430368,118200
2012-01-03,5.983330,6.000000,5.973330,5.996670,4.450161,202800
2012-01-04,5.950000,6.000000,5.920000,5.996670,4.450161,609000
2012-01-05,5.896670,5.896670,5.673330,5.673330,4.210207,565500
2012-01-06,5.686670,5.983330,5.616670,5.900000,4.378421,581400
2012-01-09,5.833330,5.906670,5.760000,5.833330,4.328945,736500
2012-01-10,5.853330,5.916670,5.773330,5.883330,4.366050,1911300
2012-01-11,5.810000,5.913330,5.773330,5.870000,4.356158,499200
2012-01-12,5.870000,5.936670,5.833330,5.933330,4.403155,582900
2012-01-13,5.863330,5.916670,5.800000,5.916670,4.390792,791400
2012-01-16,5.963330,5.963330,5.833330,5.926670,4.398213,318900
2012-01-17,5.990000,6.040000,5.933330,5.966670,4.427897,119100
2012-01-18,5.943330,6.143330,5.880000,6.066670,4.502107,774300
2012-01-19,5.980000,6.523330,5.980000,6.433330,4.774208,1349700
2012-01-20,6.336670,6.746670,6.323330,6.666670,4.947370,503700
2012-01-23,6.570000,6.670000,6.533330,6.650000,4.934999,546600
2012-01-24,6.630000,6.723330,6.566670,6.716670,4.984476,368400
2012-01-26,6.700000,6.950000,6.633330,6.950000,5.157631,641700
2012-01-27,6.996670,7.113330,6.683330,6.750000,5.009210,623700
2012-01-30,6.686670,6.750000,6.600000,6.600000,4.897894,357600
2012-01-31,6.600000,6.690000,6.450000,6.623330,4.915207,1083900
2012-02-01,6.600000,6.870000,6.536670,6.866670,5.095791,721200
2012-02-02,6.850000,6.880000,6.663330,6.750000,5.009210,762600
2012-02-03,6.786670,6.853330,6.770000,6.846670,5.080949,602100
2012-02-06,6.893330,6.950000,6.766670,6.766670,5.021581,572100
2012-02-07,6.766670,6.830000,6.690000,6.800000,5.046316,2049300
2012-02-08,6.713330,6.800000,6.710000,6.796670,5.043844,699000
2012-02-09,6.796670,6.796670,6.656670,6.666670,4.947370,241200
2012-02-10,6.633330,6.696670,6.600000,6.666670,4.947370,436800
2012-02-13,6.666670,6.666670,6.666670,6.666670,4.947370,0
2012-02-14,6.816670,6.870000,6.746670,6.833330,5.071050,207300
2012-02-15,6.893330,6.940000,6.793330,6.793330,5.041366,287700
2012-02-16,6.793330,6.800000,6.606670,6.683330,4.959734,556200
2012-02-17,6.790000,6.826670,6.666670,6.800000,5.046316,1008600
2012-02-23,6.650000,6.660000,6.506670,6.630000,4.920157,1079400
2012-02-24,6.613330,6.700000,6.586670,6.630000,4.920157,1222200
2012-02-27,6.590000,6.636670,6.516670,6.630000,4.920157,4353600
2012-02-28,6.666670,6.746670,6.630000,6.700000,4.972105,2276700
2012-02-29,6.676670,7.040000,6.653330,6.943330,5.152681,5108400
2012-03-01,6.966670,7.363330,6.863330,7.190000,5.335737,1192200
2012-03-02,7.000000,7.000000,6.740000,6.890000,5.113105,1488900
2012-03-05,6.890000,6.906670,6.696670,6.733330,4.996840,796200
2012-03-06,6.646670,6.646670,6.383330,6.460000,4.794000,9655800
2012-03-07,6.483330,6.570000,6.413330,6.530000,4.845947,4881000
2012-03-08,6.530000,6.620000,6.370000,6.613330,4.907787,1750800
2012-03-09,6.666670,6.710000,6.573330,6.633330,4.922628,754500
2012-03-12,6.626670,6.626670,6.440000,6.506670,4.828634,2041800
2012-03-13,6.570000,6.600000,6.443330,6.583330,4.885524,839700
2012-03-14,6.583330,6.583330,6.583330,6.583330,4.885524,0
2012-03-15,6.430000,6.430000,6.263330,6.303330,4.677734,1792500
2012-03-16,6.306670,6.510000,6.306670,6.483330,4.811314,461400
2012-03-19,6.486670,6.523330,6.440000,6.463330,4.796471,297600
2012-03-20,6.463330,6.483330,6.393330,6.483330,4.811314,501000
2012-03-21,6.466670,6.566670,6.383330,6.563330,4.870682,885300
2012-03-22,6.466670,6.566670,6.383330,6.563330,4.870682,885300
2012-03-23,6.523330,6.570000,6.460000,6.550000,4.860791,936300
2012-03-26,6.586670,6.660000,6.536670,6.566670,4.873159,521400
2012-03-27,6.536670,6.623330,6.470000,6.500000,4.823685,721200
2012-03-28,6.493330,6.590000,6.416670,6.483330,4.811314,3031200
2012-03-29,6.476670,6.513330,6.383330,6.483330,4.811314,869100
2012-03-30,6.530000,6.623330,6.486670,6.566670,4.873159,898800
2012-04-02,6.653330,6.840000,6.566670,6.796670,5.043844,1471500
2012-04-03,6.816670,6.933330,6.666670,6.860000,5.090842,789900
2012-04-04,6.676670,6.816670,6.583330,6.816670,5.213099,441000
2012-04-05,6.760000,6.833330,6.750000,6.833330,5.225840,172500
2012-04-09,6.673330,6.800000,6.670000,6.800000,5.200351,192600
2012-04-10,6.796670,6.800000,6.623330,6.700000,5.123874,858600
2012-04-11,6.700000,6.700000,6.700000,6.700000,5.123874,0
2012-04-12,6.700000,6.700000,6.700000,6.700000,5.123874,0
2012-04-13,6.700000,6.800000,6.663330,6.766670,5.174861,1367700
2012-04-16,6.720000,6.976670,6.700000,6.970000,5.330359,1357800
2012-04-17,6.990000,7.306670,6.990000,7.216670,5.519001,2976000
2012-04-18,7.136670,7.650000,7.136670,7.450000,5.697443,5205300
2012-04-19,7.450000,7.780000,7.450000,7.640000,5.842746,3597300
2012-04-20,7.666670,7.730000,7.346670,7.706670,5.893733,401700
2012-04-23,7.593330,7.593330,7.423330,7.583330,5.799408,509100
2012-04-24,7.456670,7.610000,7.430000,7.523330,5.753522,2031600
2012-04-25,7.620000,7.786670,7.500000,7.650000,5.850394,715200
2012-04-26,7.583330,7.723330,7.500000,7.683330,5.875883,1768200
2012-04-27,7.813330,7.916670,7.760000,7.866670,6.016095,355500
2012-04-30,8.053330,8.053330,7.720000,7.933330,6.067073,703800
2012-05-02,8.053330,8.053330,7.720000,7.933330,6.067073,703800
2012-05-03,7.923330,8.050000,7.866670,7.970000,6.095117,821100
2012-05-04,7.966670,8.083330,7.900000,8.003330,6.120605,2154900
2012-05-07,8.003330,8.516670,7.976670,8.266670,6.321997,2807700
2012-05-08,8.320000,8.800000,8.166670,8.350000,6.385725,2391900
2012-05-09,8.333330,8.493330,8.266670,8.333330,6.372976,1752300
2012-05-10,8.390000,8.643330,8.390000,8.483330,6.487689,1183800
2012-05-11,8.766670,8.833330,8.460000,8.500000,6.500438,2571900
2012-05-14,8.486670,8.500000,8.093330,8.400000,6.423962,510600
2012-05-15,8.443330,8.486670,8.166670,8.166670,6.245521,771900
2012-05-16,8.166670,8.166670,8.166670,8.166670,6.245521,0
2012-05-17,7.946670,8.000000,7.500000,7.550000,5.773919,7237800
2012-05-18,7.553330,7.733330,7.400000,7.733330,5.914121,2584200
2012-05-21,7.733330,7.733330,7.733330,7.733330,5.914121,0
2012-05-22,7.996670,7.996670,7.780000,7.953330,6.082368,874200
2012-05-23,7.953330,8.163330,7.526670,7.913330,6.051778,905700
2012-05-24,7.843330,7.843330,7.710000,7.833330,5.990598,672600
2012-05-25,7.753330,7.866670,7.700000,7.833330,5.990598,754200
2012-05-28,7.896670,8.193330,7.800000,8.000000,6.118060,277500
2012-05-29,8.123330,8.310000,7.950000,8.166670,6.245521,831000
2012-05-30,8.180000,8.180000,7.916670,8.133330,6.220025,1588800
2012-05-31,8.246670,8.433330,8.113330,8.433330,6.449451,1330800
2012-06-01,8.160000,8.333330,8.016670,8.333330,6.372976,1120200
2012-06-04,8.263330,8.556670,8.173330,8.330000,6.370430,652800
2012-06-05,8.316670,8.330000,8.133330,8.166670,6.245521,609300
2012-06-06,8.166670,8.213330,8.006670,8.100000,6.194535,1417500
2012-06-08,8.036670,8.233330,7.950000,8.000000,6.118060,928200
2012-06-11,8.000000,8.076670,7.846670,8.000000,6.118060,1227000
2012-06-12,8.000000,8.313330,7.926670,8.216670,6.283759,1002300
2012-06-13,8.166670,8.373330,8.166670,8.333330,6.372976,260700
2012-06-14,8.333330,8.396670,8.083330,8.183330,6.258262,745800
2012-06-15,8.233330,8.313330,7.976670,8.000000,6.118060,1592400
