Date,Open,High,Low,Close,Adj Close,Volume
2012-01-02,13.100000,13.370000,13.010000,13.200000,12.169806,167400
2012-01-03,13.200000,13.880000,13.200000,13.400000,12.354200,682300
2012-01-04,13.300000,13.400000,13.000000,13.400000,12.354200,772700
2012-01-05,13.500000,13.900000,13.200000,13.300000,12.262005,456500
2012-01-06,13.340000,13.340000,13.020000,13.250000,12.215906,150600
2012-01-09,13.400000,13.490000,13.050000,13.300000,12.262005,237700
2012-01-10,13.400000,13.400000,13.160000,13.200000,12.169806,1300300
2012-01-11,13.160000,13.300000,13.110000,13.200000,12.169806,542300
2012-01-12,13.510000,13.590000,13.010000,13.100000,12.077613,1716700
2012-01-13,13.080000,13.580000,13.080000,13.300000,12.262005,2448000
2012-01-16,13.300000,13.800000,13.300000,13.500000,12.446394,241800
2012-01-17,13.530000,13.600000,13.320000,13.350000,12.308100,921300
2012-01-18,13.400000,13.750000,13.310000,13.580000,12.520148,768100
2012-01-19,13.600000,13.600000,13.400000,13.500000,12.446394,2485700
2012-01-20,13.640000,14.090000,13.510000,13.950000,12.861275,1103200
2012-01-23,13.910000,14.100000,13.850000,13.950000,12.861275,661500
2012-01-24,13.860000,14.200000,13.860000,14.000000,12.907373,731200
2012-01-26,14.000000,14.400000,14.000000,14.250000,13.137861,1133500
2012-01-27,14.350000,14.640000,14.210000,14.500000,13.368351,1257500
2012-01-30,14.390000,14.530000,14.190000,14.400000,13.276154,1011800
2012-01-31,14.400000,14.650000,14.210000,14.500000,13.368351,1886700
2012-02-01,14.600000,14.900000,14.500000,14.770000,13.617275,2031500
2012-02-02,14.950000,14.950000,14.560000,14.890000,13.727914,894300
2012-02-03,14.870000,15.200000,14.800000,15.200000,14.013718,641300
2012-02-06,15.080000,15.610000,14.750000,14.950000,13.783231,970600
2012-02-07,14.880000,15.200000,14.810000,14.850000,13.691033,327600
2012-02-08,14.850000,15.050000,14.750000,14.900000,13.737131,716400
2012-02-09,14.990000,15.180000,14.900000,15.120000,13.939962,1153500
2012-02-10,14.720000,15.250000,14.720000,15.000000,13.829326,555600
2012-02-13,15.110000,15.280000,15.000000,15.050000,13.875424,321400
2012-02-14,15.090000,15.190000,15.000000,15.000000,13.829326,262300
2012-02-15,15.090000,15.380000,15.090000,15.170000,13.986061,724100
2012-02-16,15.160000,15.730000,15.160000,15.540000,14.327185,1122500
2012-02-17,15.600000,15.780000,15.530000,15.650000,14.428598,930000
2012-02-23,15.680000,16.190001,15.600000,16.059999,14.806603,703800
2012-02-24,16.120001,16.330000,16.049999,16.170000,14.908015,845700
2012-02-27,16.240000,16.559999,15.960000,16.250000,14.981772,629700
2012-02-28,16.340000,17.160000,16.320000,16.700001,15.396651,933200
2012-02-29,16.629999,16.760000,16.299999,16.719999,15.415091,2878400
2012-03-01,16.719999,16.770000,16.260000,16.650000,15.350553,926200
2012-03-02,16.650000,16.850000,16.600000,16.850000,15.534945,1403000
2012-03-05,16.840000,16.840000,16.500000,16.790001,15.479627,1288800
2012-03-06,16.520000,16.670000,16.080000,16.299999,15.027865,1647100
2012-03-07,16.450001,16.650000,16.320000,16.480000,15.193818,969900
2012-03-08,16.520000,16.860001,16.520000,16.629999,15.332110,515500
2012-03-09,16.780001,16.969999,16.709999,16.850000,15.534945,934700
2012-03-12,16.730000,17.180000,16.730000,17.080000,15.746994,1074300
2012-03-13,17.200001,17.389999,16.920000,17.290001,15.940607,741100
2012-03-14,17.160000,17.340000,16.780001,16.990000,15.664021,903200
2012-03-15,16.820000,17.090000,16.500000,16.969999,15.645577,595000
2012-03-16,17.030001,17.090000,16.500000,16.500000,15.212261,1268800
2012-03-19,16.500000,16.500000,16.500000,16.500000,15.212261,0
2012-03-20,16.990000,17.090000,16.809999,17.000000,15.673239,375200
2012-03-21,16.990000,17.530001,16.920000,17.299999,15.949822,834000
2012-03-22,16.990000,17.530001,16.920000,17.299999,16.117605,834000
2012-03-23,17.100000,17.280001,16.799999,16.850000,15.698364,478900
2012-03-26,17.000000,17.660000,16.799999,17.600000,16.397106,1336300
2012-03-27,17.559999,17.900000,17.559999,17.750000,16.536848,1304200
2012-03-28,17.770000,17.799999,17.500000,17.650000,16.443689,1003500
2012-03-29,17.639999,17.639999,17.240000,17.400000,16.210770,911100
2012-03-30,17.549999,17.820000,17.400000,17.750000,16.536848,938200
2012-04-02,17.790001,18.330000,17.740000,18.200001,16.956093,1097800
2012-04-03,18.330000,18.370001,17.870001,18.070000,16.834982,721600
2012-04-04,18.000000,18.200001,17.750000,17.900000,16.676600,1039100
2012-04-05,17.990000,18.100000,17.850000,18.000000,16.769768,543400
2012-04-09,17.990000,17.990000,17.600000,17.600000,16.397106,272200
2012-04-10,17.620001,17.799999,17.549999,17.549999,16.350521,597600
2012-04-11,17.760000,17.760000,17.500000,17.500000,16.303940,571900
2012-04-12,17.650000,18.490000,17.530001,18.200001,16.956093,2750600
2012-04-13,18.340000,18.600000,18.080000,18.600000,17.328758,1739700
2012-04-16,18.549999,18.969999,18.500000,18.900000,17.608252,1654000
2012-04-17,18.930000,19.389999,18.500000,18.500000,17.235588,1937500
2012-04-18,18.389999,19.469999,18.350000,19.469999,18.139301,1931300
2012-04-19,19.469999,20.000000,19.139999,20.000000,18.633078,3043900
2012-04-20,20.049999,20.299999,19.530001,20.299999,18.912565,963100
2012-04-23,20.180000,20.299999,19.610001,20.250000,18.865990,2913900
2012-04-24,20.110001,20.200001,19.750000,20.000000,18.633078,1380400
2012-04-25,19.910000,20.150000,19.830000,20.100000,18.726236,901800
2012-04-26,20.040001,20.200001,19.900000,20.200001,18.819408,1600000
2012-04-27,20.049999,20.809999,19.910000,20.600000,19.192066,683400
2012-04-30,20.680000,20.969999,20.290001,20.540001,19.136166,676400
2012-05-02,20.680000,20.969999,20.290001,20.540001,19.136166,676400
2012-05-03,20.920000,21.230000,20.700001,21.000000,19.564726,1531600
2012-05-04,21.200001,21.200001,20.400000,20.400000,19.005732,760600
2012-05-07,20.400000,20.549999,20.000000,20.000000,18.633078,1311400
2012-05-08,20.379999,20.379999,19.790001,20.059999,18.688969,3587000
2012-05-09,20.129999,21.420000,20.000000,20.900000,19.471558,978100
2012-05-10,21.290001,21.290001,20.990000,21.180000,19.732424,525000
2012-05-11,21.180000,21.240000,20.510000,20.510000,19.108213,1036100
2012-05-14,20.420000,20.420000,19.549999,19.879999,18.521275,4044400
2012-05-15,19.889999,19.900000,19.520000,19.650000,18.306995,3831000
2012-05-16,19.660000,19.900000,19.030001,19.400000,18.074083,2843500
2012-05-17,19.389999,19.700001,18.500000,18.500000,17.235588,1330100
2012-05-18,18.510000,19.000000,18.510000,18.799999,17.515085,1841500
2012-05-21,18.799999,18.799999,18.799999,18.799999,17.515085,0
2012-05-22,19.190001,19.200001,18.480000,19.020000,17.720055,1291600
2012-05-23,19.190001,19.190001,17.959999,18.270000,17.021305,1428200
2012-05-24,18.290001,18.350000,18.150000,18.290001,17.039942,1575600
2012-05-25,18.280001,18.500000,18.000000,18.350000,17.095842,1617300
2012-05-28,18.400000,18.870001,18.389999,18.639999,17.366020,218500
2012-05-29,18.650000,18.650000,18.360001,18.440001,17.179691,1741100
2012-05-30,18.440001,18.490000,18.110001,18.350000,17.095842,3362600
2012-05-31,18.350000,18.650000,18.160000,18.650000,17.375343,6203700
2012-06-01,18.459999,18.650000,18.129999,18.129999,16.890881,1880900
2012-06-04,18.030001,18.850000,18.030001,18.750000,17.468506,1166600
2012-06-05,18.709999,19.080000,18.480000,19.080000,17.775955,1365800
2012-06-06,19.129999,19.340000,18.760000,19.250000,17.934334,1317300
2012-06-08,19.309999,19.700001,19.020000,19.500000,18.167240,1497300
2012-06-11,19.680000,19.820000,19.200001,19.500000,18.167240,1191500
2012-06-12,19.400000,19.889999,18.930000,19.500000,18.167240,1786800
2012-06-13,19.219999,19.650000,19.200001,19.500000,18.167240,613700
2012-06-14,19.750000,19.950001,19.000000,19.000000,17.701418,1083900
2012-06-15,19.000000,19.450001,18.600000,19.450001,18.120663,5461100
2012-06-18,19.450001,19.450001,19.450001,19.450001,18.120663,0
2012-06-19,19.790001,20.000000,19.620001,19.799999,18.446739,1140900
2012-06-20,19.799999,20.250000,19.600000,20.240000,18.856668,1016500
2012-06-21,20.240000,20.480000,19.930000,20.000000,18.633078,822700
2012-06-22,19.879999,20.250000,19.860001,20.150000,18.825527,392600
2012-06-25,20.000000,20.129999,19.629999,19.760000,18.461164,476500
2012-06-26,19.750000,20.200001,19.750000,20.000000,18.685392,1259000
2012-06-27,20.190001,20.379999,20.049999,20.120001,18.797508,749300
2012-06-28,20.100000,20.290001,19.610001,19.850000,18.545244,675100
2012-06-29,20.180000,20.299999,19.889999,20.250000,18.918949,1420100
2012-07-02,20.209999,20.370001,19.750000,19.959999,18.648016,781100
2012-07-03,20.010000,20.870001,19.680000,20.690001,19.330029,1539700
2012-07-04,20.650000,21.200001,20.469999,21.049999,19.666376,775800
2012-07-05,21.049999,22.379999,21.000000,21.990000,20.544586,2294000
2012-07-06,21.959999,22.139999,21.120001,21.799999,20.367069,742200
2012-07-10,21.719999,21.910000,21.209999,21.700001,20.273647,1182200
2012-07-11,21.700001,22.700001,21.700001,22.370001,20.899611,943000
2012-07-12,21.959999,22.180000,21.480000,21.730000,20.301672,1003700
2012-07-13,21.730000,22.190001,21.730000,21.840000,20.404440,455700
2012-07-16,21.840000,21.840000,21.840000,21.840000,20.404440,0
2012-07-17,22.799999,23.500000,22.500000,23.500000,21.955332,957500
2012-07-18,23.280001,23.280001,22.580000,22.650000,21.161203,964500
2012-07-19,22.650000,22.799999,22.100000,22.250000,20.787493,845000
2012-07-20,22.250000,22.549999,21.850000,22.280001,20.815521,490700
2012-07-23,22.250000,22.270000,21.750000,22.000000,20.553928,550500
2012-07-24,22.000000,22.280001,21.830000,22.280001,20.815521,1068500
2012-07-25,22.500000,23.330000,22.450001,23.080000,21.562937,1039200
2012-07-26,23.139999,23.480000,23.000000,23.350000,21.815189,493600
2012-07-27,23.500000,23.719999,23.299999,23.500000,21.955332,529400
2012-07-30,23.500000,23.860001,23.430000,23.780001,22.216927,714500
2012-07-31,23.780001,24.000000,22.320000,23.400000,21.861906,1556300
2012-08-01,23.110001,23.400000,22.700001,22.700001,21.207916,577500
2012-08-02,22.700001,23.040001,22.379999,23.000000,21.488197,784200
2012-08-03,23.040001,23.490000,23.040001,23.350000,21.815189,497500
2012-08-06,23.080000,23.500000,23.080000,23.400000,21.861906,448800
2012-08-07,23.620001,23.700001,22.690001,22.740000,21.245281,463400
2012-08-08,23.000000,23.080000,22.670000,23.000000,21.488197,594900
2012-08-09,23.190001,23.340000,22.809999,23.090000,21.572283,425700
2012-08-10,23.190001,23.340000,22.809999,23.090000,21.572283,425700
2012-08-13,22.389999,22.600000,22.110001,22.180000,20.722097,1266500
2012-08-14,22.010000,21.940001,21.500000,21.500000,20.086790,1562600
2012-08-15,21.780001,21.780001,20.900000,21.100000,19.713085,1224800
2012-08-16,21.309999,21.330000,20.410000,20.680000,19.320690,1400600
2012-08-17,20.750000,20.840000,20.549999,20.700001,19.339378,1059700
2012-08-20,20.840000,21.170000,20.610001,20.700001,19.339378,805700
2012-08-21,20.700001,20.900000,20.030001,20.200001,18.872234,1548900
2012-08-22,20.200001,21.000000,20.160000,20.700001,19.339378,1952200
2012-08-23,20.750000,20.750000,20.120001,20.500000,19.152527,722300
2012-08-24,20.780001,20.780001,20.200001,20.200001,18.872234,1608200
2012-08-27,20.320000,20.500000,20.100000,20.410000,19.068439,838500
2012-08-28,20.500000,21.500000,20.450001,21.250000,19.853226,1504800
2012-08-29,21.260000,21.700001,21.260000,21.620001,20.198902,1328700
2012-08-30,21.629999,21.990000,21.500000,21.900000,20.460497,1875400
2012-08-31,21.930000,22.139999,21.270000,21.600000,20.180220,2165300
2012-09-03,21.219999,22.139999,21.219999,21.780001,20.348387,787700
2012-09-04,21.750000,22.110001,21.750000,22.100000,20.647360,590800
2012-09-05,22.150000,22.139999,21.219999,22.000000,20.553928,606600
2012-09-06,22.129999,22.950001,21.950001,22.600000,21.114485,1333800
2012-09-10,22.850000,23.000000,22.059999,22.100000,20.647360,814000
2012-09-11,22.350000,22.680000,22.100000,22.450001,20.974344,873500
2012-09-12,22.549999,22.740000,21.980000,22.000000,20.553928,724800
2012-09-13,22.430000,22.450001,21.750000,21.900000,20.460497,1383700
2012-09-14,21.850000,22.389999,21.850000,22.299999,20.834208,686400
2012-09-17,22.299999,22.620001,22.059999,22.580000,21.095802,1411800
2012-09-18,22.400000,23.420000,22.480000,23.290001,21.759138,1523400
2012-09-19,23.350000,23.469999,22.799999,23.000000,21.488197,783300
2012-09-20,23.330000,23.330000,22.799999,23.090000,21.572283,1116100
2012-09-21,23.379999,23.379999,22.459999,22.500000,21.021057,1301900
2012-09-24,22.430000,23.360001,22.010000,23.360001,21.867186,523900
2012-09-25,23.129999,23.450001,23.000000,23.090000,21.614441,861400
2012-09-26,22.600000,23.080000,22.530001,23.000000,21.530197,352100
2012-09-27,22.850000,23.180000,22.850000,23.000000,21.530197,474200
2012-09-28,23.059999,23.290001,22.879999,23.290001,21.801662,767600
2012-10-01,23.200001,23.600000,23.200001,23.520000,22.016968,569600
2012-10-02,23.600000,23.900000,23.350000,23.549999,22.045044,746600
2012-10-03,23.799999,23.950001,23.549999,23.750000,22.232264,978700
2012-10-04,23.760000,24.209999,23.639999,24.190001,22.644142,778900
2012-10-05,24.209999,24.270000,23.910000,24.100000,22.559896,494200
2012-10-08,24.049999,24.459999,23.969999,24.200001,22.653507,394100
2012-10-09,24.200001,24.450001,24.150000,24.200001,22.653507,426500
2012-10-10,24.110001,24.350000,23.740000,24.209999,22.662870,1100700
2012-10-11,23.790001,24.010000,23.090000,23.600000,22.091852,2151600
2012-10-15,23.350000,23.690001,22.670000,22.809999,21.352327,2664600
2012-10-16,22.660000,23.330000,22.600000,23.100000,21.623800,898100
